iter	Passed	Remaining
0	0	660
1	1	590
2	1	555
3	2	548
4	2	547
5	3	541
6	3	543
7	4	530
8	4	525
9	5	518
10	5	513
11	6	518
12	6	517
13	7	514
14	7	513
15	8	511
16	8	508
17	9	510
18	9	513
19	10	513
20	11	514
21	11	513
22	12	512
23	12	512
24	13	512
25	13	510
26	14	508
27	14	506
28	15	507
29	15	505
30	16	504
31	16	502
32	17	500
33	17	498
34	18	499
35	18	497
36	19	495
37	19	495
38	20	493
39	20	492
40	20	490
41	21	489
42	21	488
43	22	487
44	22	487
45	23	485
46	23	484
47	24	483
48	24	482
49	25	481
50	25	480
51	26	479
52	26	478
53	27	477
54	27	476
55	28	475
56	28	475
57	29	475
58	29	474
59	30	473
60	30	472
61	31	472
62	31	471
63	32	470
64	32	468
65	33	468
66	33	468
67	34	468
68	34	467
69	35	466
70	35	465
71	36	465
72	36	465
73	37	464
74	37	464
75	38	464
76	38	463
77	39	462
78	39	462
79	40	462
80	40	462
81	41	461
82	41	458
83	41	457
84	42	456
85	42	456
86	43	455
87	44	456
88	44	455
89	45	455
90	45	454
91	46	454
92	46	453
93	47	453
94	47	452
95	47	451
96	48	451
97	48	450
98	49	450
99	50	450
100	50	449
101	51	449
102	51	448
103	51	447
104	52	448
105	53	447
106	53	447
107	54	446
108	54	446
109	55	445
110	55	445
111	56	445
112	56	444
113	57	444
114	57	443
115	58	443
116	58	441
117	58	440
118	59	440
119	59	439
120	60	439
121	60	438
122	61	437
123	61	437
124	62	436
125	62	435
126	63	434
127	63	433
128	64	433
129	64	432
130	65	431
131	65	431
132	66	430
133	66	430
134	67	430
135	67	429
136	68	428
137	68	428
138	69	427
139	69	426
140	70	426
141	70	424
142	70	424
143	71	424
144	71	424
145	72	424
146	73	423
147	73	423
148	74	423
149	74	422
150	75	422
151	75	421
152	75	420
153	76	419
154	76	419
155	77	418
156	77	417
157	78	417
158	78	416
159	79	416
160	79	414
161	80	413
162	80	413
163	80	412
164	81	412
165	81	411
166	82	410
167	82	410
168	83	409
169	83	408
170	84	408
171	84	407
172	85	407
173	85	406
174	86	406
175	86	405
176	87	404
177	87	404
178	87	403
179	88	402
180	88	401
181	89	401
182	89	400
183	90	399
184	90	399
185	91	398
186	91	397
187	91	397
188	92	396
189	92	395
190	93	394
191	93	393
192	94	393
193	94	392
194	94	391
195	95	391
196	95	390
197	96	389
198	96	389
199	97	388
200	97	387
201	97	386
202	98	386
203	98	385
204	99	385
205	99	384
206	100	384
207	100	383
208	101	383
209	101	383
210	102	384
211	103	383
212	103	382
213	104	382
214	104	381
215	105	381
216	105	380
217	105	380
218	106	379
219	106	378
220	107	378
221	107	377
222	108	376
223	108	376
224	109	375
225	109	375
226	110	375
227	110	374
228	111	374
229	111	373
230	112	373
231	112	372
232	112	371
233	113	371
234	113	370
235	114	370
236	115	370
237	115	369
238	115	369
239	116	368
240	116	368
241	117	367
242	117	367
243	118	366
244	118	365
245	119	365
246	119	364
247	120	364
248	120	363
249	121	363
250	121	362
251	122	362
252	122	361
253	122	361
254	123	360
